name,name_new,include,label
idauniq,id,TRUE,unique individual serial number /num
idauniqc,,,unique individual serial number /6-char
pn,,,person number within household
pnc,,,person number within household (char)
hh1hhid,,,wave 1 specific household serial number /num
hh2hhid,,,wave 2 specific household serial number /num
hh3hhid,,,wave 3 specific household serial number /num
hh4hhid,,,wave 4 specific household serial number /num
hh5hhid,,,wave 5 specific household serial number /num
hh6hhid,,,wave 6 specific household serial number /num
hh1hhidc,,,wave 1 specific household serial number /5-char
hh2hhidc,,,wave 2 specific household serial number /5-char
hh3hhidc,,,wave 3 specific household serial number /5-char
hh4hhidc,,,wave 4 specific household serial number /5-char
hh5hhidc,,,wave 5 specific household serial number /5-char
hh6hhidc,,,wave 6 specific household serial number /5-char
h1coupid,,,wave 1 specific couple id number /num
h2coupid,,,wave 2 specific couple id number /num
h3coupid,,,wave 3 specific couple id number /num
h4coupid,,,wave 4 specific couple id number /num
h5coupid,,,wave 5 specific couple id number /num
h6coupid,,,wave 6 specific couple id number /num
h1coupidc,,,wave 1 specific couple id number /5-char
h2coupidc,,,wave 2 specific couple id number /5-char
h3coupidc,,,wave 3 specific couple id number /5-char
h4coupidc,,,wave 4 specific couple id number /5-char
h5coupidc,,,wave 5 specific couple id number /5-char
h6coupidc,,,wave 6 specific couple id number /5-char
s1idauniq,,,s1idauniq:w1 spouse idauniq
s2idauniq,,,s2idauniq:w2 spouse idauniq
s3idauniq,,,s3idauniq:w3 spouse idauniq
s4idauniq,,,s4idauniq:w4 spouse idauniq
s5idauniq,,,s5idauniq:w5 spouse idauniq
s6idauniq,,,s6idauniq:w6 spouse idauniq
raspct,,,raspct: # of spouses with pn
raspid1,,,raspid1: idauniq of 1st spouse
raspid2,,,raspid2: idauniq of 2nd spouse
raspid3,,,raspid3: idauniq of 3rd spouse
raspid4,,,raspid4: idauniq of 4th spouse
inw1,responded_1,,inw1: =1 if respondent w1
inw2,responded_2,,inw2: =1 if respondent w2
inw3,responded_3,,inw3: =1 if respondent w3
inw4,responded_4,,inw4: =1 if respondent w4
inw5,responded_5,,inw5: =1 if respondent w5
inw6,responded_6,,inw6: =1 if respondent w6
inw1sc,,,inw1sc: =1 if respondent w1 self-completion
inw2sc,,,inw2sc: =1 if respondent w2 self-completion
inw3sc,,,inw3sc: =1 if respondent w3 self-completion
inw4sc,,,inw4sc: =1 if respondent w4 self-completion
inw5sc,,,inw5sc: =1 if respondent w5 self-completion
inw6sc,,,inw6sc: =1 if respondent w6 self-completion
r1iwstat,alive_status_1,,r1iwstat:w1 r interview status
r2iwstat,alive_status_2,,r2iwstat:w2 r interview status
r3iwstat,alive_status_3,,r3iwstat:w3 r interview status
r4iwstat,alive_status_4,,r4iwstat:w4 r interview status
r5iwstat,alive_status_5,,r5iwstat:w5 r interview status
r6iwstat,alive_status_6,,r6iwstat:w6 r interview status
s1iwstat,,,s1iwstat:w1 s interview status
s2iwstat,,,s2iwstat:w2 s interview status
s3iwstat,,,s3iwstat:w3 s interview status
s4iwstat,,,s4iwstat:w4 s interview status
s5iwstat,,,s5iwstat:w5 s interview status
s6iwstat,,,s6iwstat:w6 s interview status
r1cohort.e,cohort_1,,"r1cohort_e:w1 sample cohort, ELSA specific"
r2cohort.e,cohort_2,,"r2cohort_e:w2 sample cohort, ELSA specific"
r3cohort.e,cohort_3,,"r3cohort_e:w3 sample cohort, ELSA specific"
r4cohort.e,cohort_4,,"r4cohort_e:w4 sample cohort, ELSA specific"
r5cohort.e,cohort_5,,"r5cohort_e:w5 sample cohort, ELSA specific"
r6cohort.e,cohort_6,,"r6cohort_e:w6 sample cohort, ELSA specific"
s1cohort.e,,,"s1cohort_e: sample cohort, ELSA specific"
s2cohort.e,,,"s2cohort_e: sample cohort, ELSA specific"
s3cohort.e,,,"s3cohort_e: sample cohort, ELSA specific"
s4cohort.e,,,"s4cohort_e: sample cohort, ELSA specific"
s5cohort.e,,,"s5cohort_e: sample cohort, ELSA specific"
s6cohort.e,,,"s6cohort_e: sample cohort, ELSA specific"
raelsamp,eligible_sample,,raelsamp:ELSA sample-age eligible/Wave 1 Resp
s1elsamp,,,s1elsamp:ELSA sample-age eligible/Wave 1 Resp
s2elsamp,,,s2elsamp:ELSA sample-age eligible/Wave 1 Resp
s3elsamp,,,s3elsamp:ELSA sample-age eligible/Wave 1 Resp
s4elsamp,,,s4elsamp:ELSA sample-age eligible/Wave 1 Resp
s5elsamp,,,s5elsamp:ELSA sample-age eligible/Wave 1 Resp
s6elsamp,,,s6elsamp:ELSA sample-age eligible/Wave 1 Resp
r1strat,,,w1 hse stratification variable
r2strat,,,w2 hse stratification variable
raclust,,,hse clustering variable
r1cwtresp,,,"r1cwtresp:w1 person-level cross-sectional weight, core sample"
r3cwtresp,,,"r3cwtresp:w3 person-level cross-sectional weight, core sample"
r4cwtresp,,,"r4cwtresp:w4 person-level cross-sectional weight, core sample"
r5cwtresp,,,"r5cwtresp:w5 person-level cross-sectional weight, core sample"
r6cwtresp,,,"r6cwtresp:w6 person-level cross-sectional weight, core sample"
s1cwtresp,,,"s1cwtresp:w1 person-level cross-sectional weight, core sample"
s3cwtresp,,,"s3cwtresp:w3 person-level cross-sectional weight, core sample"
s4cwtresp,,,"s4cwtresp:w4 person-level cross-sectional weight, core sample"
s5cwtresp,,,"s5cwtresp:w5 person-level cross-sectional weight, core sample"
s6cwtresp,,,"s6cwtresp:w6 person-level cross-sectional weight, core sample"
r2lwtresp,,,"r2lwtresp:w2 person-level longitudinal weight, core sample"
r3lwtresp,,,"r3lwtresp:w3 person-level longitudinal weight, core sample"
r4lwtresp,,,"r4lwtresp:w4 person-level longitudinal weight, core sample"
r5lwtresp,,,"r5lwtresp:w5 person-level longitudinal weight, core sample"
r6lwtresp,,,"r6lwtresp:w6 person-level longitudinal weight, core sample"
s2lwtresp,,,"s2lwtresp:w2 person-level longitudinal weight, core sample"
s3lwtresp,,,"s3lwtresp:w3 person-level longitudinal weight, core sample"
s4lwtresp,,,"s4lwtresp:w4 person-level longitudinal weight, core sample"
s5lwtresp,,,"s5lwtresp:w5 person-level longitudinal weight, core sample"
s6lwtresp,,,"s6lwtresp:w6 person-level longitudinal weight, core sample"
r2scwtresp,,,"r2scwtresp:w2 person-level weight, self-completion sample"
r4scwtresp,,,"r4scwtresp:w4 person-level weight, self-completion sample"
r5scwtresp,,,"r5scwtresp:w5 person-level weight, self-completion sample"
r6scwtresp,,,"r6scwtresp:w6 person-level weight, self-completion sample"
s2scwtresp,,,"s2scwtresp:w2 person-level weight, self-completion sample"
s4scwtresp,,,"s4scwtresp:w4 person-level weight, self-completion sample"
s5scwtresp,,,"s5scwtresp:w5 person-level weight, self-completion sample"
s6scwtresp,,,"s6scwtresp:w6 person-level weight, self-completion sample"
hh1hhresp,,,hh1hhresp:w1 # core respondents in hh
hh2hhresp,,,hh2hhresp:w2 # core respondents in hh
hh3hhresp,,,hh3hhresp:w3 # core respondents in hh
hh4hhresp,,,hh4hhresp:w4 # core respondents in hh
hh5hhresp,,,hh5hhresp:w5 # core respondents in hh
hh6hhresp,,,hh6hhresp:w6 # core respondents in hh
h1cpl,,,h1cpl:w1 whether coupled
h2cpl,,,h2cpl:w2 whether coupled
h3cpl,,,h3cpl:w3 whether coupled
h4cpl,,,h4cpl:w4 whether coupled
h5cpl,,,h5cpl:w5 whether coupled
h6cpl,,,h6cpl:w6 whether coupled
r1finr,,,r1finr:w1 whether financial resp
r2finr,,,r2finr:w2 whether financial resp
r3finr,,,r3finr:w3 whether financial resp
r4finr,,,r4finr:w4 whether financial resp
r5finr,,,r5finr:w5 whether financial resp
r6finr,,,r6finr:w6 whether financial resp
s1finr,,,s1finr:w1 whether financial resp
s2finr,,,s2finr:w2 whether financial resp
s3finr,,,s3finr:w3 whether financial resp
s4finr,,,s4finr:w4 whether financial resp
s5finr,,,s5finr:w5 whether financial resp
