,wave_name,name,varname,retained,label
1,w1,idaindw1,,,Analytical wave-specific individual serial number
2,w1,idahhw1,,,Analytical wave-specific household serial number
3,w1,idauniq,id,TRUE,Unique individual serial number
4,w1,perid,,,Person ID (same as person number in household grid)
5,w1,finstat,,,Post-field final type of sample member (including cohort number added)
6,w1,indoc,,,final individual outcome code
7,w1,w1wgt,,,W1 weight for all core SM to account for non-response
8,w1,dhsameh,,,INTERVIEWER: ARE YOU INTERVIEWING AT THE ADDRESS GIVEN ON ARF LABEL?
9,w1,hhresp,,,Person number of HH respondent (HH resp=person who answered household demographics)
10,w1,dhsex,,,ASK OR CODE RESPONDENT~S SEX
11,w1,dhdobyr,,,Year of birth from HH grid collapsed at 90 plus
12,w1,dhager,,,Age variable from HH grid collapsed at 90 plus
13,w1,dhr,,,What is [your/member of household~s] relationship to [person 1] Please choose a number from this card
14,w1,dhr2,,,What is [your/member of household~s] relationship to [person 2] Please choose a number from this card
15,w1,dhr3,,,What is [your/member of household~s] relationship to [person 3] Please choose a number from this card
16,w1,dhr4,,,What is [your/member of household~s] relationship to [person 4] Please choose a number from this card
17,w1,dhr5,,,What is [your/member of household~s] relationship to [person 5] Please choose a number from this card
18,w1,dhr6,,,What is [your/member of household~s] relationship to [person 6] Please choose a number from this card
19,w1,dhr7,,,What is [your/member of household~s] relationship to [person 7] Please choose a number from this card
20,w1,dhr8,,,What is [your/member of household~s] relationship to [person 8] Please choose a number from this card
21,w1,dhr9,,,What is [your/member of household~s] relationship to [person 9] Please choose a number from this card
22,w1,dhr10,,,What is [your/member of household~s] relationship to [person 10] Please choose a number from this card
23,w1,dhr11,,,What is [your/member of household~s] relationship to [person 11] Please choose a number from this card
24,w1,dhr12,,,What is [your/member of household~s] relationship to [person 12] Please choose a number from this card
25,w1,dhr13,,,What is [your/member of household~s] relationship to [person 13] Please choose a number from this card
26,w1,dhpa,,,Children Grid: Person number of First Parent: Parent A
27,w1,dhpb,,,Children Grid: Person number of Second Parent: Parent B
28,w1,dhc,,,"Children Grid: Child number within these parents (first child, second child etc)"
29,w1,dhch,,,Children Grid: Whether has any living children (who are NOT resident in household): [Do you/Do you and [name]/Does [name]/Does [name] and [name]] have any (other) living children?
30,w1,dhnch,,,"Children Grid: Number of living children (NOT resident in household): In total, how many (other) living children [do you/do you and [name]/does [name]/do [name] and [name] have?"
31,w1,dhcs,,,Children Grid: Sex of Child 1: INTERVIEWER: CODE OR ASK [name of child~s] SEX
32,w1,dhcby,,,Children Grid: Year of Birth of Child 1: Year of birth: What is [name of child~s] date of birth?
33,w1,dhcag,,,Children Grid: Age of Child 1: What was [name of child~s] age last birthday?
34,w1,dhcr01,,,Children Grid: Relationship of Child 1 to Person 1: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
35,w1,dhcr02,,,Children Grid: Relationship of Child 1 to Person 2: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
36,w1,dhcr03,,,Children Grid: Relationship of Child 1 to Person 3: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
37,w1,dhcr04,,,Children Grid: Relationship of Child 1 to Person 4: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
38,w1,dhcr05,,,Children Grid: Relationship of Child 1 to Person 5: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
39,w1,dhcr06,,,Children Grid: Relationship of Child 1 to Person 6: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
40,w1,dhcr07,,,Children Grid: Relationship of Child 1 to Person 7: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
41,w1,dhm,,,Children Grid: Whether has any more living children (who are not resident in household): More for these parents?
42,w1,dhc2,,,"Children Grid: Child number within these parents(first child, second child etc)"
43,w1,dhcs2,,,Children Grid: Sex of Child 2: INTERVIEWER: CODE OR ASK [name of child~s] SEX
44,w1,dhcby02,,,Children Grid: Year of Birth of Child 2: Year of birth: What is [name of child~s] date of birth?
45,w1,dhcag2,,,Children Grid: Age of Child 2: What was [name of child~s] age last birthday?
46,w1,dhcr17,,,Children Grid: Relationship of Child 2 to Person 1: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
47,w1,dhcr18,,,Children Grid: Relationship of Child 2 to Person 2: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
48,w1,dhcr19,,,Children Grid: Relationship of Child 2 to Person 3: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
49,w1,dhcr20,,,Children Grid: Relationship of Child 2 to Person 4: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
50,w1,dhcr21,,,Children Grid: Relationship of Child 2 to Person 5: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
51,w1,dhcr22,,,Children Grid: Relationship of Child 2 to Person 6: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
52,w1,dhcr23,,,Children Grid: Relationship of Child 2 to Person 7: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
53,w1,dhm2,,,Children Grid: Whether has any more living children (who are not resident in household): More for these parents?
54,w1,dhc3,,,"Children Grid: Child number within these parents(first child, second child etc)"
55,w1,dhcs3,,,Children Grid: Sex of Child 3: INTERVIEWER: CODE OR ASK [name of child~s] SEX
56,w1,dhcby03,,,Children Grid: Year of Birth of Child 3: Year of birth: What is [name of child~s] date of birth?
57,w1,dhcag3,,,Children Grid: Age of Child 3: What was [name of child~s] age last birthday?
58,w1,dhcr33,,,Children Grid: Relationship of Child 3 to Person 1: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
59,w1,dhcr34,,,Children Grid: Relationship of Child 3 to Person 2: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
60,w1,dhcr35,,,Children Grid: Relationship of Child 3 to Person 3: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
61,w1,dhcr36,,,Children Grid: Relationship of Child 3 to Person 4: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
62,w1,dhcr37,,,Children Grid: Relationship of Child 3 to Person 5: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
63,w1,dhcr38,,,Children Grid: Relationship of Child 3 to Person 6: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
64,w1,dhcr39,,,Children Grid: Relationship of Child 3 to Person 7: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
65,w1,dhm3,,,Children Grid: Whether has any more living children (who are not resident in household): More for these parents?
66,w1,dhc4,,,"Children Grid: Child number within these parents(first child, second child etc)"
67,w1,dhcs4,,,Children Grid: Sex of Child 4: INTERVIEWER: CODE OR ASK [name of child~s] SEX
68,w1,dhcby04,,,Children Grid: Year of Birth of Child 4: Year of birth: What is [name of child~s] date of birth?
69,w1,dhcag4,,,Children Grid: Age of Child 4: What was [name of child~s] age last birthday?
70,w1,dhcr49,,,Children Grid: Relationship of Child 4 to Person 1: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
71,w1,dhcr50,,,Children Grid: Relationship of Child 4 to Person 2: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
72,w1,dhcr51,,,Children Grid: Relationship of Child 4 to Person 3: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
73,w1,dhcr52,,,Children Grid: Relationship of Child 4 to Person 4: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
74,w1,dhcr53,,,Children Grid: Relationship of Child 4 to Person 5: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
75,w1,dhcr54,,,Children Grid: Relationship of Child 4 to Person 6: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
76,w1,dhcr55,,,Children Grid: Relationship of Child 4 to Person 7: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
77,w1,dhm4,,,Children Grid: Whether has any more living children (who are not resident in household): More for these parents?
78,w1,dhc5,,,"Children Grid: Child number within these parents(first child, second child etc)"
79,w1,dhcs5,,,Children Grid: Sex of Child 5: INTERVIEWER: CODE OR ASK [name of child~s] SEX
80,w1,dhcby05,,,Children Grid: Year of Birth of Child 5: Year of birth: What is [name of child~s] date of birth?
81,w1,dhcag5,,,Children Grid: Age of Child 5: What was [name of child~s] age last birthday?
82,w1,dhcr65,,,Children Grid: Relationship of Child 5 to Person 1: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
83,w1,dhcr66,,,Children Grid: Relationship of Child 5 to Person 2: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
84,w1,dhcr67,,,Children Grid: Relationship of Child 5 to Person 3: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
85,w1,dhcr68,,,Children Grid: Relationship of Child 5 to Person 4: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
86,w1,dhcr69,,,Children Grid: Relationship of Child 5 to Person 5: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card.
