"","name","label"
"1","idauniq","unique individual serial number /num"
"2","idauniqc","unique individual serial number /6-char"
"3","pn","person number within household"
"4","pnc","person number within household (char)"
"5","hh1hhid","wave 1 specific household serial number /num"
"6","hh2hhid","wave 2 specific household serial number /num"
"7","hh3hhid","wave 3 specific household serial number /num"
"8","hh4hhid","wave 4 specific household serial number /num"
"9","hh5hhid","wave 5 specific household serial number /num"
"10","hh6hhid","wave 6 specific household serial number /num"
"11","hh1hhidc","wave 1 specific household serial number /5-char"
"12","hh2hhidc","wave 2 specific household serial number /5-char"
"13","hh3hhidc","wave 3 specific household serial number /5-char"
"14","hh4hhidc","wave 4 specific household serial number /5-char"
"15","hh5hhidc","wave 5 specific household serial number /5-char"
"16","hh6hhidc","wave 6 specific household serial number /5-char"
"17","h1coupid","wave 1 specific couple id number /num"
"18","h2coupid","wave 2 specific couple id number /num"
"19","h3coupid","wave 3 specific couple id number /num"
"20","h4coupid","wave 4 specific couple id number /num"
"21","h5coupid","wave 5 specific couple id number /num"
"22","h6coupid","wave 6 specific couple id number /num"
"23","h1coupidc","wave 1 specific couple id number /5-char"
"24","h2coupidc","wave 2 specific couple id number /5-char"
"25","h3coupidc","wave 3 specific couple id number /5-char"
"26","h4coupidc","wave 4 specific couple id number /5-char"
"27","h5coupidc","wave 5 specific couple id number /5-char"
"28","h6coupidc","wave 6 specific couple id number /5-char"
"29","s1idauniq","s1idauniq:w1 spouse idauniq"
"30","s2idauniq","s2idauniq:w2 spouse idauniq"
"31","s3idauniq","s3idauniq:w3 spouse idauniq"
"32","s4idauniq","s4idauniq:w4 spouse idauniq"
"33","s5idauniq","s5idauniq:w5 spouse idauniq"
"34","s6idauniq","s6idauniq:w6 spouse idauniq"
"35","raspct","raspct: # of spouses with pn"
"36","raspid1","raspid1: idauniq of 1st spouse"
"37","raspid2","raspid2: idauniq of 2nd spouse"
"38","raspid3","raspid3: idauniq of 3rd spouse"
"39","raspid4","raspid4: idauniq of 4th spouse"
"40","inw1","inw1: =1 if respondent w1"
"41","inw2","inw2: =1 if respondent w2"
"42","inw3","inw3: =1 if respondent w3"
"43","inw4","inw4: =1 if respondent w4"
"44","inw5","inw5: =1 if respondent w5"
"45","inw6","inw6: =1 if respondent w6"
"46","inw1sc","inw1sc: =1 if respondent w1 self-completion"
"47","inw2sc","inw2sc: =1 if respondent w2 self-completion"
"48","inw3sc","inw3sc: =1 if respondent w3 self-completion"
"49","inw4sc","inw4sc: =1 if respondent w4 self-completion"
"50","inw5sc","inw5sc: =1 if respondent w5 self-completion"
"51","inw6sc","inw6sc: =1 if respondent w6 self-completion"
"52","r1iwstat","r1iwstat:w1 r interview status"
"53","r2iwstat","r2iwstat:w2 r interview status"
"54","r3iwstat","r3iwstat:w3 r interview status"
"55","r4iwstat","r4iwstat:w4 r interview status"
"56","r5iwstat","r5iwstat:w5 r interview status"
"57","r6iwstat","r6iwstat:w6 r interview status"
"58","s1iwstat","s1iwstat:w1 s interview status"
"59","s2iwstat","s2iwstat:w2 s interview status"
"60","s3iwstat","s3iwstat:w3 s interview status"
"61","s4iwstat","s4iwstat:w4 s interview status"
"62","s5iwstat","s5iwstat:w5 s interview status"
"63","s6iwstat","s6iwstat:w6 s interview status"
"64","r1cohort.e","r1cohort_e:w1 sample cohort, ELSA specific"
"65","r2cohort.e","r2cohort_e:w2 sample cohort, ELSA specific"
"66","r3cohort.e","r3cohort_e:w3 sample cohort, ELSA specific"
"67","r4cohort.e","r4cohort_e:w4 sample cohort, ELSA specific"
"68","r5cohort.e","r5cohort_e:w5 sample cohort, ELSA specific"
"69","r6cohort.e","r6cohort_e:w6 sample cohort, ELSA specific"
"70","s1cohort.e","s1cohort_e: sample cohort, ELSA specific"
"71","s2cohort.e","s2cohort_e: sample cohort, ELSA specific"
"72","s3cohort.e","s3cohort_e: sample cohort, ELSA specific"
"73","s4cohort.e","s4cohort_e: sample cohort, ELSA specific"
"74","s5cohort.e","s5cohort_e: sample cohort, ELSA specific"
"75","s6cohort.e","s6cohort_e: sample cohort, ELSA specific"
"76","raelsamp","raelsamp:ELSA sample-age eligible/Wave 1 Resp"
"77","s1elsamp","s1elsamp:ELSA sample-age eligible/Wave 1 Resp"
"78","s2elsamp","s2elsamp:ELSA sample-age eligible/Wave 1 Resp"
"79","s3elsamp","s3elsamp:ELSA sample-age eligible/Wave 1 Resp"
"80","s4elsamp","s4elsamp:ELSA sample-age eligible/Wave 1 Resp"
"81","s5elsamp","s5elsamp:ELSA sample-age eligible/Wave 1 Resp"
"82","s6elsamp","s6elsamp:ELSA sample-age eligible/Wave 1 Resp"
"83","r1strat","w1 hse stratification variable"
"84","r2strat","w2 hse stratification variable"
"85","raclust","hse clustering variable"
"86","r1cwtresp","r1cwtresp:w1 person-level cross-sectional weight, core sample"
"87","r3cwtresp","r3cwtresp:w3 person-level cross-sectional weight, core sample"
"88","r4cwtresp","r4cwtresp:w4 person-level cross-sectional weight, core sample"
"89","r5cwtresp","r5cwtresp:w5 person-level cross-sectional weight, core sample"
"90","r6cwtresp","r6cwtresp:w6 person-level cross-sectional weight, core sample"
"91","s1cwtresp","s1cwtresp:w1 person-level cross-sectional weight, core sample"
"92","s3cwtresp","s3cwtresp:w3 person-level cross-sectional weight, core sample"
"93","s4cwtresp","s4cwtresp:w4 person-level cross-sectional weight, core sample"
"94","s5cwtresp","s5cwtresp:w5 person-level cross-sectional weight, core sample"
"95","s6cwtresp","s6cwtresp:w6 person-level cross-sectional weight, core sample"
"96","r2lwtresp","r2lwtresp:w2 person-level longitudinal weight, core sample"
"97","r3lwtresp","r3lwtresp:w3 person-level longitudinal weight, core sample"
"98","r4lwtresp","r4lwtresp:w4 person-level longitudinal weight, core sample"
"99","r5lwtresp","r5lwtresp:w5 person-level longitudinal weight, core sample"
"100","r6lwtresp","r6lwtresp:w6 person-level longitudinal weight, core sample"
"101","s2lwtresp","s2lwtresp:w2 person-level longitudinal weight, core sample"
"102","s3lwtresp","s3lwtresp:w3 person-level longitudinal weight, core sample"
"103","s4lwtresp","s4lwtresp:w4 person-level longitudinal weight, core sample"
"104","s5lwtresp","s5lwtresp:w5 person-level longitudinal weight, core sample"
"105","s6lwtresp","s6lwtresp:w6 person-level longitudinal weight, core sample"
"106","r2scwtresp","r2scwtresp:w2 person-level weight, self-completion sample"
"107","r4scwtresp","r4scwtresp:w4 person-level weight, self-completion sample"
"108","r5scwtresp","r5scwtresp:w5 person-level weight, self-completion sample"
"109","r6scwtresp","r6scwtresp:w6 person-level weight, self-completion sample"
"110","s2scwtresp","s2scwtresp:w2 person-level weight, self-completion sample"
"111","s4scwtresp","s4scwtresp:w4 person-level weight, self-completion sample"
"112","s5scwtresp","s5scwtresp:w5 person-level weight, self-completion sample"
"113","s6scwtresp","s6scwtresp:w6 person-level weight, self-completion sample"
"114","hh1hhresp","hh1hhresp:w1 # core respondents in hh"
"115","hh2hhresp","hh2hhresp:w2 # core respondents in hh"
"116","hh3hhresp","hh3hhresp:w3 # core respondents in hh"
"117","hh4hhresp","hh4hhresp:w4 # core respondents in hh"
"118","hh5hhresp","hh5hhresp:w5 # core respondents in hh"
"119","hh6hhresp","hh6hhresp:w6 # core respondents in hh"
"120","h1cpl","h1cpl:w1 whether coupled"
"121","h2cpl","h2cpl:w2 whether coupled"
"122","h3cpl","h3cpl:w3 whether coupled"
"123","h4cpl","h4cpl:w4 whether coupled"
"124","h5cpl","h5cpl:w5 whether coupled"
"125","h6cpl","h6cpl:w6 whether coupled"
"126","r1finr","r1finr:w1 whether financial resp"
"127","r2finr","r2finr:w2 whether financial resp"
"128","r3finr","r3finr:w3 whether financial resp"
"129","r4finr","r4finr:w4 whether financial resp"
"130","r5finr","r5finr:w5 whether financial resp"
"131","r6finr","r6finr:w6 whether financial resp"
"132","s1finr","s1finr:w1 whether financial resp"
"133","s2finr","s2finr:w2 whether financial resp"
"134","s3finr","s3finr:w3 whether financial resp"
"135","s4finr","s4finr:w4 whether financial resp"
"136","s5finr","s5finr:w5 whether financial resp"
"137","s6finr","s6finr:w6 whether financial resp"
"138","h1anyfin","h1anyfin:w1 whether any finr in couple"
"139","h2anyfin","h2anyfin:w2 whether any finr in couple"
"140","h3anyfin","h3anyfin:w3 whether any finr in couple"
"141","h4anyfin","h4anyfin:w4 whether any finr in couple"
"142","h5anyfin","h5anyfin:w5 whether any finr in couple"
"143","h6anyfin","h6anyfin:w6 whether any finr in couple"
"144","r1hhr","r1hhr:w1 whether hh resp"
"145","r2hhr","r2hhr:w2 whether hh resp"
"146","r3hhr","r3hhr:w3 whether hh resp"
"147","r4hhr","r4hhr:w4 whether hh resp"
"148","r5hhr","r5hhr:w5 whether hh resp"
"149","r6hhr","r6hhr:w6 whether hh resp"
"150","s1hhr","s1hhr:w1 whether hh resp"
"151","s2hhr","s2hhr:w2 whether hh resp"
"152","s3hhr","s3hhr:w3 whether hh resp"
"153","s4hhr","s4hhr:w4 whether hh resp"
"154","s5hhr","s5hhr:w5 whether hh resp"
"155","s6hhr","s6hhr:w6 whether hh resp"
"156","r1hor","r1hor:w1 whether housing resp"
"157","r2hor","r2hor:w2 whether housing resp"
"158","r3hor","r3hor:w3 whether housing resp"
"159","r4hor","r4hor:w4 whether housing resp"
"160","r5hor","r5hor:w5 whether housing resp"
"161","r6hor","r6hor:w6 whether housing resp"
"162","s1hor","s1hor:w1 hh housing resp"
"163","s2hor","s2hor:w2 hh housing resp"
"164","s3hor","s3hor:w3 hh housing resp"
"165","s4hor","s4hor:w4 hh housing resp"
"166","s5hor","s5hor:w5 hh housing resp"
"167","s6hor","s6hor:w6 hh housing resp"
"168","hh1anyho","hh1anyho:w1 whether any hor in hh"
"169","hh2anyho","hh2anyho:w2 whether any hor in hh"
"170","hh3anyho","hh3anyho:w3 whether any hor in hh"
"171","hh4anyho","hh4anyho:w4 whether any hor in hh"
"172","hh5anyho","hh5anyho:w5 whether any hor in hh"
"173","hh6anyho","hh6anyho:w6 whether any hor in hh"
"174","r1proxy","r1proxy:w1 whether proxy interview"
"175","r2proxy","r2proxy:w2 whether proxy interview"
"176","r3proxy","r3proxy:w3 whether proxy interview"
"177","r4proxy","r4proxy:w4 whether proxy interview"
"178","r5proxy","r5proxy:w5 whether proxy interview"
"179","r6proxy","r6proxy:w6 whether proxy interview"
"180","s1proxy","s1proxy:w1 whether proxy interview"
"181","s2proxy","s2proxy:w2 whether proxy interview"
"182","s3proxy","s3proxy:w3 whether proxy interview"
"183","s4proxy","s4proxy:w4 whether proxy interview"
"184","s5proxy","s5proxy:w5 whether proxy interview"
"185","s6proxy","s6proxy:w6 whether proxy interview"
"186","hh1iwhh","hh1iwhh:w1 household interview date"
