"","name","label"
"1","idauniq","Unique individual serial number"
"2","w2sec","(D) Whether new NS-SEC code was assigned at ELSA Wave 2"
"3","w2sic","(D) Whether new SIC code was assigned at ELSA Wave 2"
"4","w2soc","(D) Whether new SOC code was assigned at ELSA Wave 2"
"5","w2nssec8","(D) NS-SEC 8 variable classification (individual)"
"6","w2nssec5","(D) NS-SEC 5 variable classification (individual)"
"7","w2nssec3","(D) NS-SEC 3 variable classification (individual)"
"8","w2soc2000","(D) Combined ELSA W2/W1/HSE: SOC2000 (without dots)"
"9","w2soc2000mis","(D) Reason why respondent has no SOC2000"
"10","w2sic92","(D) Combined ELSA W2/W1/HSE: 2-digit SIC92 code"
"11","w2sic92mis","(D) Reason why respondent has no SIC92"
"12","idaindw2","W2 Individual analytical serial number"
"13","idahhw2","W2 household analytical serial number"
"14","PersNo","Person number"
"15","sampsta","Type of sample member (i.e. core member, core partner, younger partner or new partner)"
"16","finstat","Final status of respondent after Wave 2 interview"
"17","w2indout","Individual outcome code"
"18","w2hhout","Household outcome code"
"19","couple","Relationship status (derived from household grid)"
"20","cpid","Person number of partner"
"21","chinhh1","Whether respondent has a child in the household"
"22","chouthh","Whether respondent has a child outside the household"
"23","gcinhh1","Whether respondent has a grandchild in the household"
"24","mainhh1","Whether the mother of the respondent is in the household"
"25","painhh1","Whether the father of the respondent is in the household"
"26","DhSameH","Whether or not household is at same address as Wave 1 interview"
"27","DhSex","Respondent sex from household grid"
"28","DhDoBC","Whether confirms date of birth recorded at Wave 1"
"29","dhdobyr","Year of birth collapsed at 90 plus"
"30","dhager","Age collapsed at 90 plus"
"31","DhWork","Whether respondent was in paid employment (last week) (from household grid)"
"32","DhR","Relationship of this person to Person 1 in the household"
"33","DhR2","Relationship of this person to Person 2 in the household"
"34","DhR3","Relationship of this person to Person 3 in the household"
"35","DhR4","Relationship of this person to Person 4 in the household"
"36","DhR5","Relationship of this person to Person 5 in the household"
"37","DhR6","Relationship of this person to Person 6 in the household"
"38","DhR7","Relationship of this person to Person 7 in the household"
"39","DhR8","Relationship of this person to Person 8 in the household"
"40","DhR9","Relationship of this person to Person 9 in the household"
"41","DhR10","Relationship of this person to Person 10 in the household"
"42","DhR11","Relationship of this person to Person 11 in the household"
"43","DhR12","Relationship of this person to Person 12 in the household"
"44","hhresp","Person number of household grid (HD) respondent"
"45","DhPA","Person number of Parent A for Child 1"
"46","DhPB","Person number of Parent B for Child 1"
"47","DhC","Children's Grid: Child number within these parents (first child, second child etc)"
"48","DhCS","Children's Grid: Sex of Child 1"
"49","dhcdy","Children Grid: Year of Birth of Child 1"
"50","DhCAg","Children's Grid: Age of Child 1"
"51","DHCR01","Relationship of Child 1 to Person 1 in household"
"52","DHCR02","Relationship of Child 1 to Person 2 in household"
"53","DHCR03","Relationship of Child 1 to Person 3 in household"
"54","DHCR04","Relationship of Child 1 to Person 4 in household"
"55","DHCR05","Relationship of Child 1 to Person 5 in household"
"56","DHCR06","Relationship of Child 1 to Person 6 in household"
"57","DHCR07","Relationship of Child 1 to Person 7 in household"
"58","DHCR08","Relationship of Child 1 to Person 8 in household"
"59","DHCR09","Relationship of Child 1 to Person 9 in household"
"60","DHCR10","Relationship of Child 1 to Person 10 in household"
"61","DHCR11","Relationship of Child 1 to Person 11 in household"
"62","DHCR12","Relationship of Child 1 to Person 12 in household"
"63","DhPA2","Person number of Parent A for Child 2"
"64","DhPB2","Person number of Parent B for Child 2"
